Paper,Category,PDF Filename,Local PDF,Online PDF,DOI,arXiv,Source,License,Git Tracked,SHA256,File Size,Pages
02_Papers/01_VLA/3D-VLA.md,01_VLA,3D-VLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/3D-VLA.pdf]],https://proceedings.neurips.cc/paper_files/paper/2023/file/413885e70482b95dcbeeddc1daf39177-Paper-Conference.pdf,10.48550/arXiv.2403.09631,2403.09631,Conference OA,Unconfirmed,No,d36ae653eb33ac51ebe0b8c92f22f7d497a1d1fb554c194aca81ebb7d4eaaf85,4119888,13
02_Papers/01_VLA/Actions_as_Language.md,01_VLA,Actions_as_Language.pdf,[[00_Paper_Pool/PDFs/01_VLA/Actions_as_Language.pdf]],https://proceedings.iclr.cc/paper_files/paper/2026/file/7a0f8055c838df8e62329a76c7c6403d-Paper-Conference.pdf,,,Conference OA,Unconfirmed,No,1f52d363ea92d18427e8f35189262f515ea0c5fb1f7b1528dac92ad7bfdeff97,9621604,28
02_Papers/01_VLA/BridgeVLA.md,01_VLA,BridgeVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/BridgeVLA.pdf]],https://proceedings.neurips.cc/paper_files/paper/2025/file/5c1a8aa04c1a2cf5013f28831870dafa-Paper-Conference.pdf,10.52202/085713-2137,,Conference OA,Unconfirmed,No,be473fbb35ef1b9d367e78b050c5579617e8d2fd5dd53c8aa003d851711d540d,17009039,39
02_Papers/01_VLA/CoT-VLA.md,01_VLA,CoT-VLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/CoT-VLA.pdf]],https://openaccess.thecvf.com/content/CVPR2025/papers/Zhao_CoT-VLA_Visual_Chain-of-Thought_Reasoning_for_Vision-Language-Action_Models_CVPR_2025_paper.pdf,,,Conference OA,Unconfirmed,No,5a2bc4aa7041dd2e747c3c52daa711d8ece2779b479d95d8808649ce7f25d3b7,7055204,12
02_Papers/01_VLA/DiffusionVLA.md,01_VLA,DiffusionVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/DiffusionVLA.pdf]],https://raw.githubusercontent.com/mlresearch/v267/main/assets/wen25g/wen25g.pdf,,,Conference OA,Unconfirmed,No,aace1bfdbc16031b1db1e50f7a9ca106606241fea20631cf2eaa74db69bc45ae,1716577,17
02_Papers/01_VLA/MoManipVLA.md,01_VLA,MoManipVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/MoManipVLA.pdf]],https://openaccess.thecvf.com/content/CVPR2025/papers/Wu_MoManipVLA_Transferring_Vision-language-action_Models_for_General_Mobile_Manipulation_CVPR_2025_paper.pdf,10.48550/arXiv.2503.13446,2503.13446,Conference OA,Unconfirmed,No,9281a0e87accf5a882fbd0d2dfb6b8e02f516e38f08c199082a7cd958bef38cf,2344924,10
02_Papers/01_VLA/Octo.md,01_VLA,Octo.pdf,[[00_Paper_Pool/PDFs/01_VLA/Octo.pdf]],https://roboticsproceedings.org/rss20/p090.pdf,,,Conference OA,Unconfirmed,No,2ad80d52e9ce79b6d3e052724631e4767a96a356850e48a5e5ef655a3b09a9c6,3411632,13
02_Papers/01_VLA/OpenVLA.md,01_VLA,OpenVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/OpenVLA.pdf]],https://raw.githubusercontent.com/mlresearch/v270/main/assets/kim25c/kim25c.pdf,,,Conference OA,Unconfirmed,No,312adce96455c80da723f85bfe25c9bae7ccfbeb9daf739e05671eb7a303affa,13036087,35
02_Papers/01_VLA/ReconVLA.md,01_VLA,ReconVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/ReconVLA.pdf]],https://ojs.aaai.org/index.php/AAAI/article/download/38921/42883,10.1609/aaai.v40i22.38921,,Conference OA,Unconfirmed,No,9b0e81a2f51f190a8719914d8a9c362056e1db90db6b3540e5a35f806414c37a,3189670,9
02_Papers/01_VLA/RoboGround.md,01_VLA,RoboGround.pdf,[[00_Paper_Pool/PDFs/01_VLA/RoboGround.pdf]],https://openaccess.thecvf.com/content/CVPR2025/papers/Huang_RoboGround_Robotic_Manipulation_with_Grounded_Vision-Language_Priors_CVPR_2025_paper.pdf,,,Conference OA,Unconfirmed,No,fcc196bd227ba4bcfa8f485aa05b4fae7c4aec753bc3aeff84e6547cb641bd40,1660114,11
02_Papers/01_VLA/RoboMamba.md,01_VLA,RoboMamba.pdf,[[00_Paper_Pool/PDFs/01_VLA/RoboMamba.pdf]],https://proceedings.neurips.cc/paper_files/paper/2024/file/46a126492ea6fb87410e55a58df2e189-Paper-Conference.pdf,10.52202/079017-1266,,Conference OA,Unconfirmed,No,9f9ea24fcef9c7371ddeb4bb9ba967019fe511833f522272893c6c9b38fbb9e6,4916576,26
02_Papers/01_VLA/RoboMonkey.md,01_VLA,RoboMonkey.pdf,[[00_Paper_Pool/PDFs/01_VLA/RoboMonkey.pdf]],https://raw.githubusercontent.com/mlresearch/v305/main/assets/kwok25a/kwok25a.pdf,,,Conference OA,Unconfirmed,No,98111e735150cd41e33cf446a6db377cb0015e7fcdca08a5597320647bb474c1,9306486,18
02_Papers/01_VLA/SayCan.md,01_VLA,SayCan.pdf,[[00_Paper_Pool/PDFs/01_VLA/SayCan.pdf]],https://arxiv.org/pdf/2204.01691,10.48550/arXiv.2204.01691,2204.01691,arXiv,arXiv non-exclusive distribution,No,48c22d36a044bbbd34e640beb1db4fb4ba57e74d97fefa0fb121d55c31282312,12827088,34
02_Papers/01_VLA/SimpleVLA-RL.md,01_VLA,SimpleVLA-RL.pdf,[[00_Paper_Pool/PDFs/01_VLA/SimpleVLA-RL.pdf]],https://proceedings.iclr.cc/paper_files/paper/2026/file/cbfbcb4da14235bd69b134070898ae9d-Paper-Conference.pdf,,,Conference OA,Unconfirmed,No,41580d8dea64f8ba34e0a6a3246a37464271d34e87e8b1432770f83cda0761fd,3012415,24
02_Papers/01_VLA/SP-VLA.md,01_VLA,SP-VLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/SP-VLA.pdf]],https://proceedings.iclr.cc/paper_files/paper/2026/file/4072543747a14bbed76284cf2c04b9e9-Paper-Conference.pdf,,,Conference OA,Unconfirmed,No,50734ad121a763ac53e9408f46813dd38e80f4fd5081afedbb6a1a6008d88812,42265998,30
02_Papers/01_VLA/SpatialVLA.md,01_VLA,SpatialVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/SpatialVLA.pdf]],https://www.roboticsproceedings.org/rss21/p011.pdf,,,Conference OA,Unconfirmed,No,a0d3dfd51076ae418b11ddfdb4028dda9ac2a57abbb30a218047b714ff758b7a,8543669,13
02_Papers/01_VLA/TraceVLA.md,01_VLA,TraceVLA.pdf,[[00_Paper_Pool/PDFs/01_VLA/TraceVLA.pdf]],https://proceedings.iclr.cc/paper_files/paper/2025/file/8667f264f88c7938a73a53ab01eb1327-Paper-Conference.pdf,,,Conference OA,Unconfirmed,No,aaa084adf35dd1e2d09be843c4a476f6895a0a1c755e034733357bd1ec2aac46,5596155,20
