Paper,PDF Path,Source URL,Source,License,Redistribution Allowed,Evidence URL,Git Track,Notes
02_Papers/01_VLA/3D-VLA.md,00_Paper_Pool/PDFs/01_VLA/3D-VLA.pdf,https://proceedings.neurips.cc/paper_files/paper/2023/file/413885e70482b95dcbeeddc1daf39177-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/Actions_as_Language.md,00_Paper_Pool/PDFs/01_VLA/Actions_as_Language.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/file/7a0f8055c838df8e62329a76c7c6403d-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/BridgeVLA.md,00_Paper_Pool/PDFs/01_VLA/BridgeVLA.pdf,https://proceedings.neurips.cc/paper_files/paper/2025/file/5c1a8aa04c1a2cf5013f28831870dafa-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/CoT-VLA.md,00_Paper_Pool/PDFs/01_VLA/CoT-VLA.pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhao_CoT-VLA_Visual_Chain-of-Thought_Reasoning_for_Vision-Language-Action_Models_CVPR_2025_paper.pdf,Conference OA,Unconfirmed,Unknown,https://openaccess.thecvf.com/,No,CVF 开放阅读页声明版权和限制仍归权利人；未确认本 PDF 可再次托管。
02_Papers/01_VLA/DiffusionVLA.md,00_Paper_Pool/PDFs/01_VLA/DiffusionVLA.pdf,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wen25g/wen25g.pdf,Conference OA,Unconfirmed,Unknown,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wen25g/wen25g.pdf,No,仓库中可下载 PDF 不等于论文 PDF 本体采用代码仓库许可；未确认再分发授权。
02_Papers/01_VLA/MoManipVLA.md,00_Paper_Pool/PDFs/01_VLA/MoManipVLA.pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Wu_MoManipVLA_Transferring_Vision-language-action_Models_for_General_Mobile_Manipulation_CVPR_2025_paper.pdf,Conference OA,Unconfirmed,Unknown,https://openaccess.thecvf.com/,No,CVF 开放阅读页声明版权和限制仍归权利人；未确认本 PDF 可再次托管。
02_Papers/01_VLA/Octo.md,00_Paper_Pool/PDFs/01_VLA/Octo.pdf,https://roboticsproceedings.org/rss20/p090.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/OpenVLA.md,00_Paper_Pool/PDFs/01_VLA/OpenVLA.pdf,https://raw.githubusercontent.com/mlresearch/v270/main/assets/kim25c/kim25c.pdf,Conference OA,Unconfirmed,Unknown,https://raw.githubusercontent.com/mlresearch/v270/main/assets/kim25c/kim25c.pdf,No,仓库中可下载 PDF 不等于论文 PDF 本体采用代码仓库许可；未确认再分发授权。
02_Papers/01_VLA/ReconVLA.md,00_Paper_Pool/PDFs/01_VLA/ReconVLA.pdf,https://ojs.aaai.org/index.php/AAAI/article/download/38921/42883,Conference OA,Unconfirmed,Unknown,https://ojs.aaai.org/index.php/AAAI/article/download/38921/42883,No,AAAI 官方 PDF 可读，但未确认此 PDF 的开放再分发许可。
02_Papers/01_VLA/RoboGround.md,00_Paper_Pool/PDFs/01_VLA/RoboGround.pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Huang_RoboGround_Robotic_Manipulation_with_Grounded_Vision-Language_Priors_CVPR_2025_paper.pdf,Conference OA,Unconfirmed,Unknown,https://openaccess.thecvf.com/,No,CVF 开放阅读页声明版权和限制仍归权利人；未确认本 PDF 可再次托管。
02_Papers/01_VLA/RoboMamba.md,00_Paper_Pool/PDFs/01_VLA/RoboMamba.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/46a126492ea6fb87410e55a58df2e189-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/RoboMonkey.md,00_Paper_Pool/PDFs/01_VLA/RoboMonkey.pdf,https://raw.githubusercontent.com/mlresearch/v305/main/assets/kwok25a/kwok25a.pdf,Conference OA,Unconfirmed,Unknown,https://raw.githubusercontent.com/mlresearch/v305/main/assets/kwok25a/kwok25a.pdf,No,仓库中可下载 PDF 不等于论文 PDF 本体采用代码仓库许可；未确认再分发授权。
02_Papers/01_VLA/SayCan.md,00_Paper_Pool/PDFs/01_VLA/SayCan.pdf,https://arxiv.org/pdf/2204.01691,arXiv,arXiv non-exclusive distribution,Unknown,https://arxiv.org/abs/2204.01691,No,作者授予 arXiv 分发权限，不等于授予第三方再托管权限。
02_Papers/01_VLA/SimpleVLA-RL.md,00_Paper_Pool/PDFs/01_VLA/SimpleVLA-RL.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/file/cbfbcb4da14235bd69b134070898ae9d-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/SP-VLA.md,00_Paper_Pool/PDFs/01_VLA/SP-VLA.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/file/4072543747a14bbed76284cf2c04b9e9-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/SpatialVLA.md,00_Paper_Pool/PDFs/01_VLA/SpatialVLA.pdf,https://www.roboticsproceedings.org/rss21/p011.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/TraceVLA.md,00_Paper_Pool/PDFs/01_VLA/TraceVLA.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/8667f264f88c7938a73a53ab01eb1327-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/VideoVLA.md,00_Paper_Pool/PDFs/01_VLA/VideoVLA.pdf,https://proceedings.neurips.cc/paper_files/paper/2025/file/89a3b655a8b68ae1c76b768152c9c19d-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/01_VLA/VLA-Cache.md,00_Paper_Pool/PDFs/01_VLA/VLA-Cache.pdf,https://proceedings.neurips.cc/paper_files/paper/2025/file/f062da1973ac9ac61fc6d44dd7fa309f-Paper-Conference.pdf,Conference OA,Unconfirmed,Unknown,,No,公开可读不等于允许再分发；PDF 仅本地保存。
02_Papers/02_Robot_Manipulation/Dreamitate.md,00_Paper_Pool/PDFs/02_Robot_Manipulation/Dreamitate.pdf,https://raw.githubusercontent.com/mlresearch/v270/main/assets/liang25b/liang25b.pdf,Conference OA,Unconfirmed,Unknown,https://raw.githubusercontent.com/mlresearch/v270/main/assets/liang25b/liang25b.pdf,No,仓库中可下载 PDF 不等于论文 PDF 本体采用代码仓库许可；未确认再分发授权。
02_Papers/02_Robot_Manipulation/ManipLLM.md,00_Paper_Pool/PDFs/02_Robot_Manipulation/ManipLLM.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_ManipLLM_Embodied_Multimodal_Large_Language_Model_for_Object-Centric_Robotic_Manipulation_CVPR_2024_paper.pdf,Conference OA,Unconfirmed,Unknown,https://openaccess.thecvf.com/,No,CVF 开放阅读页声明版权和限制仍归权利人；未确认本 PDF 可再次托管。
