Source Paper,Source Card Path,Target Paper,Target Card Path,Relation Type,Evidence Source,Verified Date
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,3D-VLA: A 3D Vision-Language-Action Generative World Model,02_Papers/01_VLA/3D-VLA.md,References,https://arxiv.org/html/2509.22195#bib.bib20 (arXiv full-text bibliography item 20),2026-09-23
3D-VLA: A 3D Vision-Language-Action Generative World Model,02_Papers/01_VLA/3D-VLA.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib20 (arXiv full-text bibliography item 20),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,02_Papers/01_VLA/CoT-VLA.md,References,https://arxiv.org/html/2509.22195#bib.bib32 (arXiv full-text bibliography item 32),2026-09-23
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,02_Papers/01_VLA/CoT-VLA.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib32 (arXiv full-text bibliography item 32),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Octo: An Open-Source Generalist Robot Policy,02_Papers/01_VLA/Octo.md,References,https://arxiv.org/html/2509.22195#bib.bib25 (arXiv full-text bibliography item 25),2026-09-23
Octo: An Open-Source Generalist Robot Policy,02_Papers/01_VLA/Octo.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib25 (arXiv full-text bibliography item 25),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,OpenVLA: An Open-Source Vision-Language-Action Model,02_Papers/01_VLA/OpenVLA.md,References,https://arxiv.org/html/2509.22195#bib.bib4 (arXiv full-text bibliography item 4),2026-09-23
OpenVLA: An Open-Source Vision-Language-Action Model,02_Papers/01_VLA/OpenVLA.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib4 (arXiv full-text bibliography item 4),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",02_Papers/01_VLA/SayCan.md,References,https://arxiv.org/html/2509.22195#bib.bib33 (arXiv full-text bibliography item 33),2026-09-23
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",02_Papers/01_VLA/SayCan.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib33 (arXiv full-text bibliography item 33),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,HAMSTER: Hierarchical Action Models for Open-World Robot Manipulation,02_Papers/07_Generalization_LongHorizon/HAMSTER.md,References,https://arxiv.org/html/2509.22195#bib.bib41 (arXiv full-text bibliography item 41),2026-09-23
HAMSTER: Hierarchical Action Models for Open-World Robot Manipulation,02_Papers/07_Generalization_LongHorizon/HAMSTER.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib41 (arXiv full-text bibliography item 41),2026-09-23
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,02_Papers/10_Benchmark_Dataset/DROID.md,References,https://arxiv.org/html/2509.22195#bib.bib49 (arXiv full-text bibliography item 49),2026-09-23
DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,02_Papers/10_Benchmark_Dataset/DROID.md,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Cited By,https://arxiv.org/html/2509.22195#bib.bib49 (arXiv full-text bibliography item 49),2026-09-23
