"Title","Card Path","Evidence Quality","Fulltext URL","Fulltext Checked","Supplement Status","Citation Status","DOI Status","arXiv Status","Code Checked","Experiment Extracted","Results Extracted","Ablation Extracted","Failure Cases Extracted","Limitations Extracted","Remaining Gap Extracted","Excel Synced","Last Verified","Deep Enrichment Completed","Deep Enrichment Status"
"3D-VLA: A 3D Vision-Language-Action Generative World Model","02_Papers\01_VLA\3D-VLA.md","B","https://proceedings.mlr.press/v235/zhen24a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting","02_Papers\01_VLA\Actions_as_Language.md","A","https://proceedings.iclr.cc/paper_files/paper/2026/hash/7a0f8055c838df8e62329a76c7c6403d-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"BridgeVLA: Input-Output Alignment for Efficient 3D Manipulation Learning with Vision-Language Models","02_Papers\01_VLA\BridgeVLA.md","A","https://proceedings.neurips.cc/paper_files/paper/2025/hash/5c1a8aa04c1a2cf5013f28831870dafa-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models","02_Papers\01_VLA\CoT-VLA.md","A","https://openaccess.thecvf.com/content/CVPR2025/html/Zhao_CoT-VLA_Visual_Chain-of-Thought_Reasoning_for_Vision-Language-Action_Models_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DiffusionVLA: Scaling Robot Foundation Models via Unified Diffusion and Autoregression","02_Papers\01_VLA\DiffusionVLA.md","A","https://proceedings.mlr.press/v267/wen25g.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation","02_Papers\01_VLA\MoManipVLA.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Wu_MoManipVLA_Transferring_Vision-language-action_Models_for_General_Mobile_Manipulation_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Octo: An Open-Source Generalist Robot Policy","02_Papers\01_VLA\Octo.md","A","https://roboticsproceedings.org/rss20/p090.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"OpenVLA: An Open-Source Vision-Language-Action Model","02_Papers\01_VLA\OpenVLA.md","A","https://proceedings.mlr.press/v270/kim24e.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"ReconVLA: Reconstructive Vision-Language-Action Model as Effective Robot Perceiver","02_Papers\01_VLA\ReconVLA.md","A","https://ojs.aaai.org/index.php/AAAI/article/view/38921","Yes","Available - Verified","OpenAlex matched","Verified DOI","Listed / source checked","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2026-09-21","true","Completed - Full text read"
"RoboGround: Robotic Manipulation with Grounded Vision-Language Priors","02_Papers\01_VLA\RoboGround.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Huang_RoboGround_Robotic_Manipulation_with_Grounded_Vision-Language_Priors_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
